model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed
ddm,40,20,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,60,20,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,80,20,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,100,20,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,120,20,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,40,40,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,60,40,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,80,40,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,100,40,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,120,40,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,40,60,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,60,60,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,80,60,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,100,60,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,120,60,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,40,80,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,60,80,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,80,80,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,100,80,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,120,80,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,40,100,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,60,100,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,80,100,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,100,100,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,120,100,0.1,1.18,0.5,0.5,0.1,0.33,0.1,0.25,0.8,500,1
ddm,40,20,0.1,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,60,20,0.1,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,80,20,0.1,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,0.1,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
