,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-5.950344575654957,2.935441734820868e-09,,,,,,,,,,,,,,,,
1,-4.088778413917984,2.6244483576000777e-05,,,,,,,,,,,,,,,,
2,-4.890232053404619,7.32102831996602e-07,,,,,,,,,,,,,,,,
3,-6.066478262424193,1.522470101888017e-09,,,,,,,,,,,,,,,,
4,-3.049303968811567,0.0012235139082985823,,,,,,,,,,,,,,,,
5,-6.2288627330104145,5.979478625153226e-10,,,,,,,,,,,,,,,,
6,-4.159595491682318,1.9540444338632274e-05,,,,,,,,,,,,,,,,
7,-4.0489865655857225,3.091870823800421e-05,,,,,,,,,,,,,,,,
8,-5.597404128761065,2.0293167168446824e-08,,,,,,,,,,,,,,,,
9,-4.546655583789342,3.621572975255935e-06,,,,,,,,,,,,,,,,
10,-5.512710426485684,3.1823418931827795e-08,,,,,,,,,,,,,,,,
11,-3.294278052158263,0.0005375523486543817,,,,,,,,,,,,,,,,
12,-6.981721270122095,6.1414218326600416e-12,,,,,,,,,,,,,,,,
13,-4.416317868891478,6.477194056655014e-06,,,,,,,,,,,,,,,,
14,-4.686400918295059,1.912024876156311e-06,,,,,,,,,,,,,,,,
15,-4.051046305323758,3.065849247948239e-05,,,,,,,,,,,,,,,,
16,-6.3839183664382455,2.406283367171759e-10,,,,,,,,,,,,,,,,
17,-3.932789921603406,4.952097219408394e-05,,,,,,,,,,,,,,,,
18,-4.125713140955907,2.2513965015132263e-05,,,,,,,,,,,,,,,,
19,-3.3674576627317556,0.0004162753742493203,,,,,,,,,,,,,,,,
20,-5.36490300891111,6.886804194957761e-08,,,,,,,,,,,,,,,,
21,-7.811238965810936,2.5419725282895608e-14,,,,,,,,,,,,,,,,
22,-5.621141540583687,1.7871388312284533e-08,,,,,,,,,,,,,,,,
23,-4.203624243410438,1.62321098907607e-05,,,,,,,,,,,,,,,,
24,-5.2740329261511585,1.0977154370087554e-07,,,,,,,,,,,,,,,,
25,-6.21473380117486,6.49098283602578e-10,,,,,,,,,,,,,,,,
26,-6.077488939752589,1.4298547677436121e-09,,,,,,,,,,,,,,,,
27,-5.039586412768899,3.5473294705617427e-07,,,,,,,,,,,,,,,,
28,-6.4583519591386676,1.5449630486351025e-10,,,,,,,,,,,,,,,,
29,-3.2970453433626736,0.0005324245017121686,,,,,,,,,,,,,,,,
30,-4.446241692733719,5.674837997512615e-06,,,,,,,,,,,,,,,,
31,-5.3174176913555335,8.793670622221229e-08,,,,,,,,,,,,,,,,
32,-5.732386540226311,9.795509740116701e-09,,,,,,,,,,,,,,,,
33,-3.972199148126982,4.226287811537032e-05,,,,,,,,,,,,,,,,
34,-4.882061963282695,7.613115278928544e-07,,,,,,,,,,,,,,,,
35,-5.756092546382006,8.607065183693651e-09,,,,,,,,,,,,,,,,
36,-5.556757155177611,2.5201359808959022e-08,,,,,,,,,,,,,,,,
37,-4.451970286280532,5.532507855616108e-06,,,,,,,,,,,,,,,,
38,-5.165567552167706,1.8988927913681612e-07,,,,,,,,,,,,,,,,
39,-3.961006935990412,4.421446579032509e-05,,,,,,,,,,,,,,,,
40,-5.255065990822083,1.208922280154448e-07,,,,,,,,,,,,,,,,
41,-4.701670051062319,1.7814185628249506e-06,,,,,,,,,,,,,,,,
42,-4.90473024822624,6.82912224471862e-07,,,,,,,,,,,,,,,,
43,-4.857184662555717,8.573410739861721e-07,,,,,,,,,,,,,,,,
44,-4.105636264771604,2.447416922095613e-05,,,,,,,,,,,,,,,,
45,-4.989449864751981,4.5330749902172905e-07,,,,,,,,,,,,,,,,
46,-4.0012104204245444,3.7577491427876016e-05,,,,,,,,,,,,,,,,
47,-5.131915259401303,2.2466218309060373e-07,,,,,,,,,,,,,,,,
48,-5.4409918394198495,4.6380994076856535e-08,,,,,,,,,,,,,,,,
49,-5.075177927299925,2.9769991259040406e-07,,,,,,,,,,,,,,,,
50,-4.800903706860814,1.1196303988358733e-06,,,,,,,,,,,,,,,,
51,-5.588681664575321,2.1260988190441793e-08,,,,,,,,,,,,,,,,
52,-5.799812316102474,6.77295154160934e-09,,,,,,,,,,,,,,,,
53,-4.279009949249033,1.1771146377326475e-05,,,,,,,,,,,,,,,,
54,-5.554010952404297,2.5571727216396246e-08,,,,,,,,,,,,,,,,
55,-6.259522935163177,5.001403403625496e-10,,,,,,,,,,,,,,,,
56,-6.123311706333846,1.1001279314710174e-09,,,,,,,,,,,,,,,,
57,-6.4734925848521145,1.4111277911404833e-10,,,,,,,,,,,,,,,,
58,-5.923365577234748,3.4142093637777003e-09,,,,,,,,,,,,,,,,
59,-4.057470212463725,2.9860234956599785e-05,,,,,,,,,,,,,,,,
60,-5.019578439171101,3.912937783306553e-07,,,,,,,,,,,,,,,,
61,-4.953559497490147,5.396247830118372e-07,,,,,,,,,,,,,,,,
62,-4.600601888541028,2.8354885503803715e-06,,,,,,,,,,,,,,,,
63,-4.55151597381292,3.5429494911749916e-06,,,,,,,,,,,,,,,,
64,-5.987908398921548,2.376416123081147e-09,,,,,,,,,,,,,,,,
65,-5.465530095283866,4.079065897942773e-08,,,,,,,,,,,,,,,,
66,-6.339599383203176,3.126837504534199e-10,,,,,,,,,,,,,,,,
67,-7.707263846935476,5.1806465153921014e-14,,,,,,,,,,,,,,,,
68,-6.572104272994144,7.79008876719893e-11,,,,,,,,,,,,,,,,
69,-5.525094435098339,2.9807431022886994e-08,,,,,,,,,,,,,,,,
70,-5.783878660236009,7.392326654586013e-09,,,,,,,,,,,,,,,,
71,-4.054847727323018,3.0183698376699345e-05,,,,,,,,,,,,,,,,
72,-5.196659426241841,1.6243648479860037e-07,,,,,,,,,,,,,,,,
73,-4.247998782753182,1.3442352343370315e-05,,,,,,,,,,,,,,,,
74,-5.045980932658255,3.437613918049016e-07,,,,,,,,,,,,,,,,
75,-6.627983201604616,5.546405471189573e-11,,,,,,,,,,,,,,,,
76,-6.0940557951168035,1.3007923449183918e-09,,,,,,,,,,,,,,,,
77,-5.979678773906017,2.489215333805209e-09,,,,,,,,,,,,,,,,
78,-3.256525828558479,0.0006122448416927945,,,,,,,,,,,,,,,,
79,-2.54179341874382,0.005703445025177973,,,,,,,,,,,,,,,,
80,-6.848395977058399,1.4219249107285425e-11,,,,,,,,,,,,,,,,
81,-4.023679913356305,3.429201968112948e-05,,,,,,,,,,,,,,,,
82,-4.278328573047236,1.1805633677963942e-05,,,,,,,,,,,,,,,,
83,-4.020095806410285,3.4797132519072165e-05,,,,,,,,,,,,,,,,
