,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
1,0.992,0.997,0.99,0.997,,,,,,,,,,,,,,,
2,0.99,0.997,0.986,0.997,,,,,,,,,,,,,,,
3,0.989,0.998,0.992,0.997,,,,,,,,,,,,,,,
4,0.993,0.998,0.989,0.998,,,,,,,,,,,,,,,
5,0.989,0.998,0.991,0.998,,,,,,,,,,,,,,,
6,0.993,0.997,0.99,0.998,,,,,,,,,,,,,,,
7,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
8,0.993,0.997,0.992,0.998,,,,,,,,,,,,,,,
9,0.992,0.997,0.989,0.997,,,,,,,,,,,,,,,
10,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
11,0.991,0.997,0.991,0.997,,,,,,,,,,,,,,,
12,0.993,0.997,0.991,0.997,,,,,,,,,,,,,,,
13,0.989,0.997,0.99,0.998,,,,,,,,,,,,,,,
14,0.992,0.998,0.99,0.998,,,,,,,,,,,,,,,
15,0.989,0.997,0.99,0.998,,,,,,,,,,,,,,,
16,0.989,0.998,0.988,0.998,,,,,,,,,,,,,,,
17,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
18,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
19,0.989,0.997,0.989,0.998,,,,,,,,,,,,,,,
20,0.991,0.997,0.99,0.998,,,,,,,,,,,,,,,
21,0.992,0.997,0.991,0.998,,,,,,,,,,,,,,,
22,0.99,0.997,0.986,0.997,,,,,,,,,,,,,,,
23,0.989,0.998,0.991,0.997,,,,,,,,,,,,,,,
24,0.988,0.998,0.991,0.998,,,,,,,,,,,,,,,
25,0.989,0.998,0.987,0.998,,,,,,,,,,,,,,,
26,0.993,0.997,0.991,0.997,,,,,,,,,,,,,,,
27,0.989,0.997,0.992,0.998,,,,,,,,,,,,,,,
28,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
29,0.992,0.998,0.984,0.998,,,,,,,,,,,,,,,
30,0.992,0.998,0.988,0.997,,,,,,,,,,,,,,,
31,0.99,0.998,0.993,0.998,,,,,,,,,,,,,,,
32,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
